pickup_taxizone_id,pickup_hour,pickup_weekday,average_fare,total_rides,total_fare,average_trip_distance,total_trip_distance
1.0,0,0,97.64285714285714,7,683.5,0.11857142857142856,0.83
1.0,0,1,81.16666666666667,12,974.0,9.515,114.18
1.0,0,2,88.89999999999999,12,1066.8,7.728333333333333,92.74
1.0,0,3,66.18857142857144,14,926.6400000000001,2.9571428571428577,41.400000000000006
1.0,0,5,99.88050000000001,20,1997.6100000000001,1.361,27.22
1.0,1,0,102.82142857142857,14,1439.5,1.7007142857142856,23.81
1.0,1,1,72.67391304347827,23,1671.5,5.870869565217391,135.03
1.0,1,4,157.77727272727273,11,1735.55,0.09090909090909091,1.0
1.0,1,5,87.75,12,1053.0,3.1108333333333333,37.33
1.0,1,6,89.34333333333333,9,804.09,1.0355555555555556,9.32
1.0,2,1,47.18421052631579,19,896.5,0.005263157894736842,0.1
1.0,2,2,64.58333333333333,18,1162.5,1.6616666666666666,29.91
1.0,2,3,58.27272727272727,22,1282.0,0.13954545454545456,3.0700000000000003
1.0,2,4,86.13333333333334,15,1292.0,1.2346666666666666,18.52
1.0,2,5,87.98214285714286,28,2463.5,0.665357142857143,18.630000000000003
1.0,3,0,72.10511627906976,43,3100.52,1.3167441860465117,56.620000000000005
1.0,3,1,69.59393939393941,33,2296.6000000000004,1.2575757575757576,41.5
1.0,3,2,61.4264705882353,34,2088.5,2.1676470588235297,73.7
1.0,3,3,66.62724137931035,29,1932.19,0.9558620689655172,27.72
1.0,3,4,69.04127272727271,55,3797.2699999999995,1.5276363636363635,84.02
1.0,3,5,64.47392857142857,56,3610.54,0.4546428571428572,25.46
1.0,3,6,70.50377358490566,53,3736.7,1.4501886792452834,76.86000000000001
1.0,4,0,74.68373626373626,91,6796.22,0.6826373626373626,62.12
1.0,4,1,71.04106382978723,94,6677.86,1.4543617021276594,136.70999999999998
1.0,4,2,72.11931506849315,73,5264.71,0.36219178082191783,26.44
1.0,4,3,75.43368932038834,103,7769.669999999999,1.0640776699029126,109.6
1.0,4,4,73.89228813559322,118,8719.289999999999,2.054322033898305,242.41
1.0,4,5,76.7,84,6442.8,0.4227380952380953,35.510000000000005
1.0,4,6,65.68915094339623,106,6963.05,1.4169811320754715,150.2
1.0,5,0,74.90288659793815,97,7265.58,1.2201030927835053,118.35000000000001
1.0,5,1,71.11734939759037,83,5902.740000000001,1.5656626506024098,129.95000000000002
1.0,5,2,78.22164062499999,128,10012.369999999999,1.2182812500000002,155.94000000000003
1.0,5,3,75.4567132867133,143,10790.310000000001,1.9922377622377625,284.89000000000004
1.0,5,4,73.92190476190476,168,12418.88,1.807559523809524,303.67
1.0,5,5,72.03070921985815,141,10156.33,1.6407092198581559,231.33999999999997
1.0,5,6,66.84234782608695,115,7686.87,1.3795652173913042,158.64999999999998
1.0,6,0,65.25265734265734,143,9331.130000000001,0.9902097902097904,141.60000000000002
1.0,6,1,69.05046511627907,129,8907.51,1.9240310077519376,248.19999999999996
1.0,6,2,75.55477011494253,174,13146.529999999999,1.9361494252873563,336.89
1.0,6,3,72.16022471910112,178,12844.52,1.5329213483146065,272.85999999999996
1.0,6,4,74.1159111111111,225,16676.079999999998,1.0840444444444444,243.91
1.0,6,5,66.91375722543353,173,11576.08,1.573063583815029,272.14000000000004
1.0,6,6,64.12004854368932,206,13208.73,1.1262135922330097,232.0
1.0,7,0,63.39308270676691,133,8431.279999999999,2.991654135338346,397.89
1.0,7,1,75.54396551724136,116,8763.099999999999,1.2851724137931035,149.08
1.0,7,2,72.36082191780822,146,10564.68,1.9806164383561644,289.17
1.0,7,3,75.49402777777777,144,10871.14,1.7926388888888891,258.14000000000004
1.0,7,4,73.63497695852534,217,15978.79,1.7290783410138248,375.21
1.0,7,5,75.6920394736842,152,11505.189999999999,2.4959868421052627,379.38999999999993
1.0,7,6,86.7316129032258,155,13443.399999999998,2.1038709677419356,326.1
1.0,8,0,73.91133858267716,127,9386.74,1.4330708661417322,182.0
1.0,8,1,78.79559139784946,93,7327.990000000001,1.556989247311828,144.8
1.0,8,2,81.20268292682927,123,9987.93,0.7344715447154471,90.33999999999999
1.0,8,3,79.88314960629923,127,10145.160000000002,1.8718110236220475,237.72000000000003
1.0,8,4,78.65424581005585,179,14079.109999999999,1.3172625698324025,235.79000000000005
1.0,8,5,74.0641605839416,137,10146.789999999999,2.841386861313868,389.2699999999999
1.0,8,6,75.57401069518717,187,14132.340000000002,1.6524598930481282,309.01
1.0,9,0,74.37958041958042,143,10636.28,4.311678321678322,616.57
1.0,9,1,71.05539130434784,115,8171.370000000001,3.7736521739130438,433.97
1.0,9,2,76.70108333333334,120,9204.130000000001,2.146583333333333,257.59
1.0,9,3,81.92204724409449,127,10404.1,2.1015748031496067,266.90000000000003
1.0,9,4,78.58394736842105,152,11944.76,2.248421052631579,341.76000000000005
1.0,9,5,78.52851063829786,141,11072.519999999999,2.503191489361702,352.95
1.0,9,6,73.47241573033709,178,13078.090000000002,1.404494382022472,250.00000000000003
1.0,10,0,73.07493243243243,148,10815.09,1.6246621621621622,240.45000000000002
1.0,10,1,76.3540322580645,124,9467.9,3.3101612903225806,410.46
1.0,10,2,78.5935652173913,115,9038.26,2.27,261.05
1.0,10,3,75.9921897810219,137,10410.93,2.2872992700729924,313.35999999999996
1.0,10,4,77.41673913043478,138,10683.509999999998,1.6673188405797101,230.09
1.0,10,5,79.00782258064517,124,9796.970000000001,4.122822580645161,511.22999999999996
1.0,10,6,76.45582857142857,175,13379.77,1.9303428571428571,337.81
