pickup_taxizone_id,average_fare,total_rides,total_fare,average_trip_distance,average_percent_tip
1.0,76.91134320550479,24851,1911323.7899999996,1.9679103456601343,17.353243115402954
2.0,38.25569852941176,272,10405.55,11.495919117647059,12.110945058707037
3.0,27.74754271765663,3687,102305.18999999999,7.160328180092216,2.975824989319403
4.0,11.980960111957721,644529,7722076.239999998,2.645427001733048,13.818403255824954
5.0,72.00596837944664,506,36435.020000000004,21.876956521739135,1.9109984430335614
6.0,19.101310466138962,1137,21718.19,3.847475813544415,4.319189392834205
7.0,11.332683244940599,485334,5500136.49,2.642578636567807,8.425316589199774
8.0,31.478023157300196,3541,111463.68,5.210516803162948,14.118535227922779
9.0,23.52063790560472,2712,63787.969999999994,5.606058259587021,3.322520239723229
10.0,49.32826692443433,88969,4388686.579999998,14.022302936978047,12.596378932549335
11.0,30.460539007092198,3525,107373.4,6.929537588652481,4.08257513371015
12.0,17.541574935069686,136685,2397670.17,4.253399568350589,10.881367049122542
13.0,16.08225111847198,2730958,43919952.35,4.061608303752753,16.5583532009095
14.0,26.277934240797567,20864,548262.8200000004,6.024437787576687,6.494916457372709
15.0,30.607042406669073,2759,84444.82999999997,7.757038782167452,3.060641840812771
16.0,26.980703868103987,4731,127645.70999999996,6.688757133798354,5.1107202475806695
17.0,13.259315954586198,66940,887578.6100000001,3.048854048401554,8.502157544009622
18.0,22.229564295039168,6128,136222.77000000002,5.433516644908617,3.6414673066518413
19.0,26.476917838312833,4552,120522.93000000001,6.0303185413005265,3.513005635429954
20.0,23.215369847543755,3542,82228.83999999998,5.480923207227555,4.168611930584994
21.0,25.381857798165136,6104,154930.86,6.318920380078636,2.9727880468213317
22.0,26.58714038926638,8683,230856.13999999998,6.201346308879419,3.132203400744248
23.0,59.74854280510018,1098,65603.9,16.439571948998175,7.288372602081812
24.0,11.613424531170693,884597,10273200.500000002,2.4739675581083755,13.996404334480628
25.0,13.679935937557524,298771,4087168.1399999987,3.2934808264523667,13.228952099018471
26.0,20.3330935450466,14485,294524.86000000004,4.5586330686917504,2.7985684070844346
27.0,35.15876811594203,276,9703.820000000002,7.270942028985507,6.658118430767428
28.0,70.96907620917365,28015,1988198.67,9.494139211136892,9.878030441605132
29.0,26.854313376803002,5061,135909.68,5.884694724362774,3.7877519865522173
30.0,37.812064516129034,155,5860.870000000001,5.587806451612903,3.8326767973739395
31.0,25.944792054624454,1611,41797.06,6.4169397889509625,8.382805338650389
32.0,27.92919824491424,5014,140037.0,7.429840446749104,2.26931974354477
33.0,15.544118362776496,319712,4969641.169999999,3.941871403012709,14.719018754663885
34.0,13.378626128991222,7861,105169.37999999999,3.0759763388881827,13.747016047339674
35.0,25.635867616357622,16286,417505.7400000002,6.357817143558885,2.1070158155753864
36.0,15.048647257383964,35550,534979.4099999999,3.6890900140646976,12.824519898293575
37.0,14.589703283680604,66663,972593.3900000001,3.4108040442224326,10.69890716919058
38.0,37.921239626556016,3856,146224.3,10.547699688796678,3.035346869328212
39.0,29.281265483763004,17922,524778.8400000005,7.294323178216718,2.5751870023867904
40.0,13.852237047714418,156787,2171850.6900000004,3.441080382939913,15.210154934956169
41.0,10.665275101955983,1116168,11904238.780000005,2.3199300642913974,10.61629379124224
42.0,11.230043865957134,500616,5621939.639999997,2.467728897997669,7.218299044061944
43.0,11.098451350511727,4390632,48729215.650000006,2.156955461081684,14.618265433423845
44.0,45.88986984815619,461,21155.230000000003,13.884815618221257,0.9886739587759635
45.0,15.353734448191156,655390,10062684.020000001,3.1221669845435556,12.724931212235271
46.0,39.751567489114656,689,27388.829999999998,10.358200290275763,2.3889431578237965
47.0,20.997216987765434,7111,149311.21,5.133858810293909,2.437305954186791
48.0,11.478330930235444,9511334,109174239.24000001,2.422922134792027,14.759408413361344
49.0,13.24775313466163,93152,1234054.7000000002,3.0443304491583647,11.319195273910557
50.0,11.652852264906391,2779563,32389837.000000004,2.4976559696614182,14.957090561932178
51.0,33.022437663156005,11109,366846.26000000007,9.014914933837426,1.7821566893771703
52.0,14.554903780398554,166702,2426331.57,3.6326676344614923,16.120390739820653
53.0,29.20455024986118,3602,105194.78999999998,7.750310938367574,4.25500159284432
54.0,14.956878255991022,12477,186616.96999999997,3.7723683577783125,14.953104163802669
55.0,34.05822796352585,6580,224103.1400000001,8.550227963525835,4.029661151951739
56.0,33.00083328355535,16741,552466.9500000002,6.5098470820142165,9.408058187925414
57.0,23.404298892988933,1084,25370.260000000002,5.356559040590407,9.525764687721576
58.0,29.373117154811716,478,14040.35,7.016380753138075,9.74688018315201
59.0,25.2871826625387,323,8167.76,6.911021671826624,3.705148876315993
60.0,21.783871046228708,4110,89531.70999999999,5.367919708029197,3.1023268418664807
61.0,17.000814394487712,69082,1174450.26,3.94514808488463,7.899737075212582
62.0,17.76139439655173,18560,329651.4800000001,4.078215517241379,6.038904968506233
63.0,25.60537021154945,6996,179135.16999999995,5.581573756432247,5.9074764214031195
64.0,32.37786512027491,2328,75375.67,7.7123496563573894,4.7788359356690915
65.0,15.379053641949895,393498,6051626.85,3.9155022897193894,12.950847019958436
66.0,15.690203789678256,148192,2325162.68,3.9525843500323905,14.867778181636274
67.0,23.678787185354683,4370,103476.29999999996,5.654647597254004,4.619497142399844
68.0,11.639068579636975,7113963,82799903.22999999,2.331409246857211,15.825699580260904
69.0,18.551016151719455,20617,382466.30000000005,4.415168550225541,3.489548824208846
70.0,27.730911403219228,51503,1428225.13,7.098903170689086,7.124813745885965
71.0,25.651024781221903,12227,313635.0800000002,6.2498740492352995,2.7058370888894765
