dropoff_taxizone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
1.0,127641.09,73957.15,86657.93000000001,293146.06,986825.39,1564690.2999999998,2216825.52,2375612.09,1967751.1199999999,1924210.2000000002,1906812.5599999998,1936943.8399999999,2554656.32,3146242.46,3774280.56,4139957.46,3864544.73,2853772.16,2493481.52,2026824.08,1050647.9900000002,469115.5,238200.20999999996,152562.33000000002,42225358.57
2.0,31.0,213.0,193.5,51.5,102.5,52.0,161.0,541.51,240.0,619.44,500.47,225.0,570.79,509.18,354.53,342.64,290.5,377.09,515.96,464.7,220.5,521.14,269.5,619.5,7986.950000000001
3.0,64398.079999999994,39942.72,26097.239999999998,17410.16,17528.75,11081.68,10979.95,15845.29,21569.68,26903.120000000003,29455.01,28699.290000000005,24207.7,28564.690000000002,30283.130000000005,34722.18,43446.42,40681.34,46862.79,48226.81999999999,49330.170000000006,54938.48000000001,58743.780000000006,65374.72000000001,835293.19
4.0,897930.97,637604.6000000001,440644.53,309063.92000000004,214472.0,104768.02,121571.02,232395.9,318695.79,303153.14999999997,352740.45,415825.14,486458.04000000004,536236.88,608399.94,698377.16,723740.03,891795.91,1167014.5599999998,1291106.4599999997,1506838.71,1265869.75,1245345.2,1140428.88,15910477.01
5.0,12380.32,8870.95,5740.01,4838.71,3801.5,2255.2,1360.8,1655.95,2723.3199999999997,2223.21,2966.4300000000003,3406.0,4726.71,5376.14,5494.38,3407.0,5509.71,6512.11,6753.820000000001,7090.4,12286.679999999998,17254.85,18049.5,16720.89,161404.59
6.0,22791.38,12653.5,9783.81,6775.030000000001,5677.32,4591.0,3443.0,3803.22,3996.4500000000003,3418.61,5244.14,4305.75,6134.9400000000005,7329.07,10969.730000000001,11221.769999999999,10911.06,9372.410000000002,13159.89,16248.59,19007.06,23774.339999999997,26338.730000000003,27044.9,267995.7
7.0,2320441.48,1875518.7200000002,1300149.7499999998,955745.5900000001,884838.0800000001,439079.87999999995,316364.79000000004,343182.22,343868.6,330931.63,370968.2,393848.01,415709.11,481089.85,558530.9500000001,621165.76,653023.85,739501.72,910578.19,1062552.1600000001,1269631.0,1552987.24,1907200.42,2211052.13,22257959.33
8.0,8323.0,7189.57,5075.0,3247.0,3855.0,2367.0,1935.17,2356.52,2604.54,3656.3999999999996,3978.5,2610.7,3726.71,4105.610000000001,4016.04,4595.45,4840.52,5025.55,4933.13,5731.0,6093.0,6828.63,8142.5,8989.5,114226.04000000001
9.0,47980.81,34521.86,23823.54,15511.05,22828.41,10417.23,12091.28,13721.91,22233.539999999997,19437.800000000003,20682.030000000002,16947.46,22278.96,30155.0,30657.7,34662.83,33887.170000000006,35812.840000000004,37871.03999999999,44634.630000000005,49120.490000000005,58027.54,56808.26,53209.45,747322.8300000001
10.0,181758.94,102344.26,53054.43,30631.0,29296.149999999998,29836.75,45500.07000000001,60210.74,62029.67,67154.61,81885.84999999999,72118.35,90203.48999999999,104788.32,127562.84,159982.75,166931.41999999998,183750.86999999997,223255.49,223412.89,238295.99,232102.51,224178.18,217269.87999999998,3007555.45
11.0,69693.22,51985.73,38549.41,30752.460000000003,28013.289999999997,23519.689999999995,15559.759999999998,17639.18,18451.410000000003,21214.35,23404.489999999998,20443.49,24591.129999999997,28235.090000000004,30890.74,32683.71,36506.75,39468.72,41648.04,55054.89,64918.97,74265.67,74617.17,74285.77,936393.13
12.0,45254.83,28854.3,22802.510000000002,16694.1,14341.380000000001,17852.25,31293.09,129934.03,328794.14999999997,444825.87999999995,455415.15,383638.05000000005,305288.43,221677.22000000003,187622.57,140735.11000000002,104126.65000000001,81284.6,81818.36,60146.31999999999,51273.100000000006,49458.600000000006,53012.66,51043.53,3307186.87
13.0,1189029.89,676616.1000000001,400376.36,264998.8,188203.79,201531.38,777217.4099999999,2135793.5799999996,3213014.12,3745578.6900000004,3329388.6799999997,3007869.07,2848845.8600000003,2626793.75,2698085.9100000006,2445871.3400000003,2187953.43,2162706.5300000003,2396355.29,2262708.82,2168295.4,2250977.87,2161206.57,1737361.5000000002,47076780.14
14.0,752228.9199999999,527940.1599999999,336004.52999999997,260097.87,219714.84000000003,110521.29000000001,117828.27,138048.96000000002,130761.38,132195.33000000002,148687.49,166460.21,183206.31000000003,222656.62,245010.52,284282.98,309405.42,338732.06,423385.72,527413.94,620307.8099999999,768374.4500000001,849754.23,871852.27,8684871.58
15.0,61030.770000000004,38128.38,25524.08,15502.8,16574.8,14870.599999999999,21097.609999999997,21032.219999999998,24356.019999999997,22907.02,25485.609999999997,27535.350000000002,34402.520000000004,447611.23,45514.42,55668.4,59513.270000000004,62364.67,62734.229999999996,74263.25,65797.38,74072.08,79201.59000000001,72694.09,1447882.39
16.0,121524.05,87843.67,64165.27,40028.659999999996,37978.240000000005,27040.61,25858.83,29849.11,36392.869999999995,43870.0,41987.659999999996,42916.130000000005,48548.380000000005,61102.94,64722.51,73837.01999999999,79644.90000000001,79227.58,86018.37999999999,97006.68000000001,105209.59,128263.47,153750.93,140741.42,1717528.9000000001
17.0,937929.6400000001,691435.99,472491.73,359694.28,328621.24000000005,160375.55000000002,131214.72,130785.25,152637.17,169321.18,170423.08,189893.06,198711.72,235602.77000000002,277770.22000000003,315445.7,334358.64,358943.56999999995,430876.79,473630.66000000003,529598.5,674164.8900000001,828310.39,946730.86,9498967.600000001
18.0,140268.49,121071.07,92914.11,79360.49999999999,78479.04,42736.07,27648.12,27530.530000000002,38331.659999999996,45058.79,43834.85,45468.57,41756.170000000006,44586.96,47332.299999999996,50874.51,55104.35,63225.82000000001,74889.76,79516.74000000002,83282.74,97989.02,101030.75,118613.18999999999,1640904.1099999999
19.0,42069.3,29939.3,17980.3,13314.539999999999,10693.420000000002,15807.600000000002,15204.5,13996.81,24948.819999999996,24951.850000000002,23537.43,23355.36,22423.060000000005,28949.71,30867.28,36954.76,37934.47,38646.37,39257.8,41696.36,43358.73,49512.04000000001,53838.27,54992.00000000001,734230.0800000001
20.0,55648.20999999999,49845.86,44272.54,36871.12,36929.75,18711.86,16824.39,28117.67,35508.43,51086.43,48238.60999999999,47422.61,46414.92,46928.88,42123.04,38207.36,40245.340000000004,44626.65,60219.52,48929.94,43517.14,44730.93000000001,45974.899999999994,54888.79,1026284.89
21.0,130662.93999999999,98705.76000000001,67433.22,54392.450000000004,52126.54,32309.06,28949.75,28243.52,29404.889999999996,28902.299999999996,33276.369999999995,31661.61,39308.02,50371.729999999996,57162.6,59061.450000000004,67782.25,71989.81,84543.82,89857.75,92557.6,103979.59,118644.90000000001,134286.69999999998,1585614.63
22.0,194480.36,149100.79,106047.73000000001,82200.79,75166.4,42395.94,40670.14,39199.73,40784.69,41707.69,48816.83,52618.45,59953.450000000004,76837.5,80298.67,84140.97,103252.93,93695.41,109385.95,123930.2,124192.06,151843.27000000002,181181.33,204373.15000000002,2306274.4299999997
23.0,26578.2,19603.01,13415.369999999999,10911.4,9177.02,5275.82,18541.97,8998.55,8310.81,16224.07,16519.72,16757.5,21825.82,20108.649999999998,16475.449999999997,15640.65,17155.74,18563.14,23611.19,25650.77,31910.59,36444.88,42577.9,34211.74,474489.95999999996
24.0,590325.6299999999,395793.74000000005,266220.22000000003,192577.89999999997,138260.11000000002,72742.93,101874.95,227496.94,333078.6,273203.74,317269.07,359557.96,421866.78,449944.41,526091.94,620453.5900000001,633834.5800000001,717745.4700000001,826452.29,847054.5,809027.2400000001,850268.7899999999,875806.0,774429.2999999999,11621376.68
25.0,894746.5,545222.6100000001,301854.54999999993,183113.96999999997,129300.90000000001,84312.03000000001,134400.22000000003,216436.19,291092.25,308496.88999999996,303032.08999999997,335650.67,370219.42,400851.05000000005,442556.20999999996,494665.14,540014.57,590629.62,725617.65,783248.08,868661.1399999999,1056465.51,1168551.88,1117344.9399999997,12286484.079999998
26.0,133392.22,96144.49,61922.95,43417.299999999996,42881.52,40036.479999999996,98861.22,104531.95,93562.59,89352.95000000001,86515.93,108751.99,108061.41999999998,125538.47999999998,140681.01,140532.67,149704.25,158775.98,161444.05,160702.99,129909.84,133461.86000000002,136823.03,136017.05,2681024.2199999997
27.0,11895.71,10684.7,5018.72,3521.5,2161.5,1752.5,1807.0,2317.71,3222.3900000000003,3421.0299999999997,4203.13,4887.94,5754.88,7686.33,9155.97,9912.580000000002,8985.6,8452.65,10886.83,10527.58,12879.67,14376.460000000001,14023.87,12278.96,179815.21
28.0,153258.71000000002,113079.08999999998,75370.83,58607.49999999999,63033.450000000004,48364.31,45829.81,54016.27,65651.67,69353.64,77492.89000000001,67479.96,67583.54,78492.46,81164.76,91381.79000000001,93516.01999999999,98629.03,124363.48999999999,122147.03000000001,133965.5,160936.16999999998,186559.03,180122.27999999997,2310399.2299999995
29.0,88351.59999999999,65335.78,50285.2,34283.13,32299.85,21678.78,28137.79,25513.1,33055.21,36054.780000000006,39922.35,44058.3,48594.48,65160.93000000001,66752.99,68337.56,66789.98,65578.12000000001,93576.9,92825.89,78048.45999999999,82370.27,89706.93000000001,94040.22999999998,1410758.6099999999
30.0,5559.2,3315.0,2510.5,1821.5,1698.5,1084.5,656.7,865.5600000000001,631.0,1112.5,1088.02,1157.49,664.95,967.54,1671.4,2306.76,1453.68,1029.9,2426.51,2710.02,2489.3599999999997,2729.0,4349.04,5551.87,49850.5
31.0,17367.2,14627.55,9592.0,8074.37,8387.0,5590.37,4306.96,7801.79,14121.270000000002,35151.840000000004,71089.69,69156.54999999999,52822.71999999999,46335.96,35516.600000000006,25097.48,16871.98,14861.91,21138.82,20548.8,16522.86,16569.99,14239.42,16640.760000000002,562433.89
