dropoff_taxizone_id,dropoff_hour,dropoff_weekday,average_fare,total_rides,total_fare,average_trip_distance,total_trip_distance
260.0,18,2,18.536500300661455,1663,30826.199999999997,4.7171497294046905,7844.620000000001
260.0,18,3,19.403932909196065,1729,33549.399999999994,4.685205320994795,8100.720000000001
260.0,18,4,18.92953853706431,2037,38559.47,4.693618065783014,9560.9
260.0,18,5,18.12656588705077,1753,31775.87,4.740484883057615,8310.07
260.0,18,6,19.04573273079406,1549,29501.84,4.989109102646869,7728.13
260.0,19,0,18.977449664429532,1788,33931.68,5.308131991051455,9490.94
260.0,19,1,18.819851403412216,1817,34195.67,5.210957622454594,9468.309999999998
260.0,19,2,19.486576470588236,1700,33127.18,5.361017647058825,9113.730000000001
260.0,19,3,19.213235130628128,1799,34564.61,5.208310172317955,9369.75
260.0,19,4,18.669231870229012,2096,39130.71000000001,5.086440839694656,10661.179999999998
260.0,19,5,18.395922836287802,1918,35283.380000000005,4.951449426485923,9496.880000000001
260.0,19,6,19.063039956803454,1852,35304.75,5.161004319654427,9558.179999999998
260.0,20,0,18.870324141267538,2067,39004.96,5.466332849540396,11298.909999999998
260.0,20,1,19.471357615894043,2114,41162.450000000004,5.48031220435194,11585.380000000001
260.0,20,2,19.540139088729013,2085,40741.189999999995,5.4985611510791355,11464.499999999998
260.0,20,3,19.341392405063292,2212,42783.16,5.269159132007233,11655.38
260.0,20,4,19.3003738317757,2461,47498.22,5.29862251117432,13039.91
260.0,20,5,19.298465499485065,1942,37477.619999999995,5.237945417095776,10172.089999999998
260.0,20,6,19.29170202020202,1980,38197.57,5.171762626262626,10240.09
260.0,21,0,19.286665184526456,2249,43375.71,5.551142730102267,12484.519999999999
260.0,21,1,19.619422540820388,2511,49264.369999999995,5.539924332935086,13910.75
260.0,21,2,19.670605326876515,2478,48743.76,5.52274818401937,13685.37
260.0,21,3,20.103173461231016,2502,50298.14,5.580755395683453,13963.05
260.0,21,4,19.24186324167873,2764,53184.51,5.394370477568741,14910.04
260.0,21,5,18.544082125603865,2070,38386.25,5.146246376811595,10652.730000000001
260.0,21,6,18.759043397106858,2143,40200.63,5.279267382174522,11313.470000000001
260.0,22,0,18.892840437570726,2651,50084.92,5.430829875518673,14397.130000000001
260.0,22,1,20.05144014732965,2715,54439.66,5.564736648250459,15108.259999999998
260.0,22,2,19.8529364548495,2990,59360.280000000006,5.518107023411372,16499.140000000003
260.0,22,3,20.713918962722854,3085,63902.44000000001,5.688275526742302,17548.33
260.0,22,4,19.52996551724138,3190,62300.59,5.427956112852663,17315.179999999997
260.0,22,5,19.004451121794872,2496,47435.11,5.194138621794871,12964.57
260.0,22,6,19.32449003516999,2559,49451.37,5.372969910121141,13749.429999999998
260.0,23,0,19.118222073129825,2981,56991.420000000006,5.512170412613217,16431.78
260.0,23,1,19.531502606562405,3261,63692.23,5.497120515179394,17926.110000000004
260.0,23,2,20.196798283261803,3495,70587.81,5.606246065808298,19593.83
260.0,23,3,20.965033871808235,3838,80463.8,5.683478374153205,21813.190000000002
260.0,23,4,19.815278925619836,3872,76724.76000000001,5.3634478305785125,20767.27
260.0,23,5,19.179241339822504,3493,66993.09000000001,5.231451474377327,18273.460000000003
260.0,23,6,18.58985482493595,3513,65306.16,5.2074380871050385,18293.73
261.0,0,0,20.11048299034019,4762,95766.12,6.3658651826963455,30314.249999999996
261.0,0,1,17.535596295596296,5291,92780.84,5.2956284256284265,28019.170000000006
261.0,0,2,15.50161777910805,6682,103581.81,4.449381921580366,29730.77
261.0,0,3,15.245675775480061,8124,123855.87000000001,4.279955686853767,34770.36
261.0,0,4,15.295534579611381,10859,166094.21,4.136840408877429,44921.950000000004
261.0,0,5,14.689978021978023,13195,193834.26,3.8312375899962103,50553.17999999999
261.0,0,6,13.978449729078864,13288,185745.63999999996,3.4566684226369664,45932.21000000001
261.0,1,0,17.956386936750725,2419,43436.5,5.556093427035966,13440.190000000002
