dropoff_taxizone_id,average_fare,total_rides,total_fare,average_trip_distance,average_percent_tip
1.0,71.61345000050859,589626,42225152.06999988,17.253179286530848,16.50060302925915
2.0,35.34048672566372,226,7986.950000000001,10.550973451327433,9.168868341119893
3.0,40.54821310679609,20600,835293.1899999995,13.45478834951456,6.698762597558902
4.0,11.280425731490038,1410443,15910397.510000004,2.40681677316986,14.315014841528951
5.0,75.77680281690142,2130,161404.59000000003,26.328680751173703,9.893026427547294
6.0,44.37749627421758,6039,267995.69999999995,15.155239278026157,12.177598839681126
7.0,17.31497071487751,1285465,22257788.83000002,4.610275861264215,12.6942875641084
8.0,19.465923653715063,5868,114226.04,5.387331288343558,11.90104418912484
9.0,33.7330879299449,22154,747322.8299999993,11.008166922451935,9.246444720282847
10.0,19.92663638712756,150927,3007467.450000001,5.735780145368285,7.507229261748213
11.0,41.39852027056897,22619,936393.1299999995,13.823234448914624,8.98108309514462
12.0,15.849045944016064,208667,3307172.87,3.8294807995514306,10.682547072990111
13.0,16.45318573066221,2861240,47076513.13999994,4.240719373418538,15.827560542231282
14.0,37.896243394785536,229175,8684871.579999976,12.487273044616568,13.174990798270281
15.0,50.79930142802006,28501,1447830.8899999997,12.22966878355146,8.801268600210745
16.0,37.93057420494701,45280,1717496.4000000004,12.839073542402817,9.824136662570723
17.0,22.609844115595806,420119,9498825.099999994,6.123844910608654,12.820069497760404
18.0,35.68501641911144,45983,1640904.1100000015,11.394987930322067,5.0786546890715165
19.0,35.06184422902439,20941,734230.0799999997,11.436643904302569,6.639326515318562
20.0,35.77560099002997,28686,1026258.8899999997,11.378564456529318,8.26998634687154
21.0,41.19763640615261,38488,1585614.6300000018,13.489012939097908,7.981877289093213
22.0,40.66857870884699,56709,2306274.430000004,13.246490680491632,8.178115854421161
23.0,61.2561270333075,7746,474489.9599999999,21.021346501420084,10.75426860392839
24.0,11.728369464844564,990871,11621301.179999998,2.8163274735056274,15.109732472636956
25.0,21.944765092519773,559880,12286435.07999997,6.085136618561072,15.570689174650047
26.0,38.33923293626399,69929,2681024.2200000044,12.001654821318779,6.536622191377967
